nicht	not
ein	a
sich	itself
sein	be
dies	this
aber	but
all	all
auch	also
mein	my
noch	still
ihr	her
werd	will
selb	yourself
wenn	if
kein	no
nach	after
welch	which
hatt	had
hab	have
kann	can
denn	becaus
durch	through
sind	are
begriff	express
oder	or
doch	but
wird	becom
mich	me
also	so
sagt	say
and	and
ganz	quit
schon	alreadi
moglich	possibl
vernunft	reason
konn	could
wurd	would
gegenstand	object
uber	abov
dein	your
bloss	just
sond	sond
gross	larg
erschein	appear
ding	thing
mehr	more
unt	under
rein	pure
erfahr	learn
zeit	time
uns	u
viel	much
hier	here
ohn	oh
war	wa
soll	should
euch	you
solch	such
erst	first
beding	condit
weil	becaus
empir	empir
mensch	person
lieb	dear
imm	imm
etwas	someth
konnt	can
jed	everi
dich	you
verstand	understand
hand	hand
ihn	him
notwend	necessari
transzendental	transcendent
erkenntnis	understand
dass	that
gleich	even
lang	long
muss	must
gegeb	given
priori	priori
leb	live
allein	alon
wied	again
natur	natur
weit	far
anschau	look
jetzt	now
zarathustra	zarathustra
grund	reason
vorstell	imagin
derselb	the sam
wollt	want
wohl	probabl
welt	world
einheit	unit
klein	small
ide	ide
jen	jen
mach	do
auss	out
macht	might
aug	aug
sag	say
sehr	veri
sprach	spoke
wort	word
gewiss	certain
denk	think
dann	then
alt	old
eur	eur
wirklich	realli
namlich	name
raum	space
mann	man
herz	heart
woll	want
uberhaupt	at al
musst	must
gott	god
wenig	few
dadurch	through thi
will	want
siddhartha	siddhartha
sinn	sen
moor	moor
seel	soul
zwar	that i
bestimm	determin
vat	dad
ursach	caus
sollt	should
gut	good
niemal	never
der	the
letzt	last
anseh	look
mithin	therefor
wes	wes
eben	even
hoh	high
einmal	onc
vielleicht	perhap
reih	row
allgemein	general
gebrauch	use
geb	born
teil	part
bestimmt	certain
enthalt	contain
sinnlich	sensual
neu	new
gesetz	law
dess	that
frag	ask
red	red
komm	come
dasein	to be ther
herr	mr
hoch	high
lass	let
grundsatz	principl
urteil	verdict
geht	goe
fragt	ask
synthesis	synthesi
kommt	come
recht	right
gedank	thought
tief	deep
dah	dah
inn	inn
bist	are
wiss	know
fall	case
gibt	give
glaub	believ
geh	go
franz	french
freund	friend
gregor	gregor
weiss	white
beid	both
zwei	two
geist	spirit
satz	sentenc
schwer	difficult
hast	have
stand	was stand
form	shape
gesicht	face
den	the
darum	therefor
einzig	onli
still	quiet
beweis	proof
davon	of that
advokat	advoc
ind	indian
weg	away
dazu	in addit
ewig	forev
gerad	straight
seh	see
zuruck	back
zweit	second
johanna	johanna
weis	white
lehr	teach
dort	there
wahrnehm	perceiv
konig	king
word	word
nah	close
seit	sinc
zustand	condit
besond	special
einig	some
synthet	synthet
endlich	final
wahrlich	truli
zimm	room
eigent	proper
objektiv	len
liegt	lie
objekt	object
leicht	light
halt	stop
geg	against
kopf	head
steh	stand
sogar	even
erd	earth
eig	own
amalia	amalia
ging	went
verschied	differ
bezieh	refer
frau	woman
heisst	is cal
gehort	heard
stimm	agre
irgendein	ani
mal	just
vollstand	complet
nenn	name
gewes	been
verhaltnis	relationship
mannigfalt	varieti
arbeit	work
himmel	heaven
folg	follow
genug	enough
such	search
realitat	realiti
lasst	leav
steht	stand
zugleich	at the same tim
gedacht	thought
fast	near
blick	view
ubrig	left ov
brud	brother
karl	karl
wahrheit	truth
substanz	substanc
erkenn	recogn
volk	peopl
absolut	absolut
einfach	simpli
jederzeit	at any tim
hint	hint
kind	child
heiss	hot
bos	bos
unterschied	differ
unend	infin
sach	thing
stell	put
bess	better
find	find
mocht	like
sohn	son
tugend	virtu
augenblick	moment
darauf	on it
heut	today
stund	hour
dien	serv
darin	in thi
desselb	the sam
damit	with it
jung	young
regel	rule
nacht	night
gluck	happi
fuhr	drove
hort	hoard
leer	empti
nehm	take
heilig	holi
sieh	see
prozess	process
zwisch	between
unbedingt	absolut
wenigst	at least
kategori	categori
bild	pictur
zufall	coincid
absicht	intent
anfang	begin
korp	corp
subjekt	subject
schein	seem
warum	whi
wahrend	while
rief	shout
schien	seem
niemand	no on
licht	light
bedeut	mean
sof	sof
hor	hor
nam	nam
einst	onc
mog	like
diess	this
fruh	earli
kraft	power
mutt	mutt
prinzipi	principl
bring	bring
nein	no
euer	your
tag	day
drei	three
stark	strong
arm	poor
beweg	move
best	best
end	end
laut	loud
kenn	know
schlaf	sleep
unmog	imposs
ganzlich	complet
einand	each oth
weib	woman
gehor	hear
menschlich	human
wahr	true
reich	rich
fern	remot
sonst	otherwis
kausalitat	causal
daran	to it
freiheit	freedom
jahr	year
govinda	govinda
leib	bodi
werk	plant
liess	let
fand	found
blieb	stay
logisch	logic
haus	a hous
vollig	fulli
erkannt	recogn
ursprung	origin
allerding	howev
leid	sorrow
erklar	explain
sucht	seek
bedingt	condit
dritt	third
schwest	sister
bleibt	remain
wirkung	effect
dacht	thought
grenz	border
lieg	lie
wart	wait
geword	becom
bleib	stay
verlass	leav
fluss	flow
wund	sore
feind	enemi
darf	may
rodin	rodin
materi	materi
bald	soon
dageg	on the other hand
stadt	citi
voll	full
zeigt	show
lust	desir
behaupt	claim
ledig	singl
fraulein	young ladi
mund	mouth
fremd	foreign
gemacht	made
langsam	slow
manch	some
meist	most of tim
setz	put
nahm	took
fuhrt	lead
madch	madch
wusst	knew
setzt	put
geschieht	happen
spekulativ	specul
mathemat	mathematician
bewusstsein	conscious
antwortet	answer
wid	wid
sieht	see
systemat	systemat
lach	laugh
versteh	understand
zweck	purpos
richtig	correct
traum	dream
furcht	fear
etwa	approxim
fuhlt	feel
vermog	possibl
zuerst	first
wass	what
antwort	answer
gesagt	said
inhalt	content
verlor	lost
fest	firm
pradikat	predic
scheint	appear
beim	at th
dialekt	dialect
giebt	give
gern	glad
bett	bed
gescheh	happen
einsam	lone
wed	wed
praktisch	practic
schlechthin	absolut
ausdruck	express
kurz	short
glaubt	believ
habt	have
redet	talk
handlung	action
versuch	attempt
daraus	from thi
ebenso	as wel
entwed	either
zusammenhang	connect
notig	necessari
subjektiv	subject
